일자,확진자
2020-12-06,599 
2020-12-07,580 
2020-12-08,561 
2020-12-09,646 
2020-12-10,643 
2020-12-11,673 
2020-12-12,928 
2020-12-13,1000 
2020-12-14,682 
2020-12-15,848 
2020-12-16,1054 
2020-12-17,994 
2020-12-18,1038 
2020-12-19,1024 
2020-12-20,1071 
2020-12-21,891 
2020-12-22,821 
2020-12-23,1058 
2020-12-24,955 
2020-12-25,1215 
2020-12-26,1103 
2020-12-27,946 
2020-12-28,786 
2020-12-29,1028 
2020-12-30,1025 
2020-12-31,940 
2021-01-01,1002 
2021-01-02,784 
2021-01-03,641 
2021-01-04,986 
2021-01-05,672 
2021-01-06,807 
2021-01-07,832 
2021-01-08,632 
2021-01-09,596 
2021-01-10,623 
2021-01-11,419 
2021-01-12,510 
2021-01-13,535 
2021-01-14,496 
2021-01-15,483 
2021-01-16,547 
2021-01-17,500 
2021-01-18,366 
2021-01-19,351 
2021-01-20,373 
2021-01-21,381 
2021-01-22,314 
2021-01-23,403 
2021-01-24,369 
2021-01-25,405 
2021-01-26,333 
2021-01-27,516 
2021-01-28,479 
2021-01-29,445 
2021-01-30,421 
