,date,humidity
0,2016-01-01,69.4
1,2016-01-01,43.9
2,2016-01-01,44
3,2016-01-01,57.3
4,2016-01-01,61.5
5,2016-01-01,57.4
6,2016-01-01,84.6
7,2016-01-01,73.9
8,2016-01-01,64.3
9,2016-10-01,86.6
10,2016-11-01,50.9
11,2016-12-01,59.1
12,2016-01-02,76.3
13,2016-01-02,47.5
14,2016-01-02,49.6
15,2016-01-02,68.8
16,2016-01-02,74.8
17,2016-01-02,56
18,2016-01-02,84.6
19,2016-01-02,78.9
20,2016-01-02,89.8
21,2016-10-02,86.4
22,2016-11-02,56.3
23,2016-12-02,60.9
24,2016-01-03,77.4
25,2016-01-03,57.1
26,2016-01-03,61.9
27,2016-01-03,86.6
28,2016-01-03,66.6
29,2016-01-03,54.5
30,2016-01-03,89.8
31,2016-01-03,78.3
32,2016-01-03,88.4
33,2016-10-03,83.6
34,2016-11-03,73.1
35,2016-12-03,63.1
36,2016-01-04,64.8
37,2016-01-04,53.4
38,2016-01-04,88.4
39,2016-01-04,81.9
40,2016-01-04,32.4
41,2016-01-04,80.8
42,2016-01-04,88.3
43,2016-01-04,73.6
44,2016-01-04,86
45,2016-10-04,72.1
46,2016-11-04,69
47,2016-12-04,75.3
48,2016-01-05,70.6
49,2016-01-05,44.4
50,2016-01-05,87.6
51,2016-01-05,66.8
52,2016-01-05,47.8
53,2016-01-05,60.9
54,2016-01-05,80.9
55,2016-01-05,69.8
56,2016-01-05,82.9
57,2016-10-05,81.4
58,2016-11-05,77.9
59,2016-12-05,76.1
60,2016-01-06,52.8
61,2016-01-06,48.3
62,2016-01-06,81.5
63,2016-01-06,64.9
64,2016-01-06,85.1
65,2016-01-06,80.3
66,2016-01-06,78.6
67,2016-01-06,67.5
68,2016-01-06,81.4
69,2016-10-06,68.5
70,2016-11-06,75.6
71,2016-12-06,40
72,2016-01-07,57.5
73,2016-01-07,50.9
74,2016-01-07,67.8
75,2016-01-07,82.5
76,2016-01-07,50.4
77,2016-01-07,76.9
78,2016-01-07,78.1
79,2016-01-07,69.8
80,2016-01-07,79.5
81,2016-10-07,79.9
82,2016-11-07,71.9
83,2016-12-07,68.4
84,2016-01-08,57.8
85,2016-01-08,47.6
86,2016-01-08,65.1
87,2016-01-08,60.3
88,2016-01-08,52.1
89,2016-01-08,80
90,2016-01-08,74.9
91,2016-01-08,73
92,2016-01-08,68.1
93,2016-10-08,85.6
94,2016-11-08,54.8
95,2016-12-08,70.4
96,2016-01-09,62.4
97,2016-01-09,26.1
98,2016-01-09,56.6
99,2016-01-09,55.8
100,2016-01-09,54.9
101,2016-01-09,76.9
102,2016-01-09,74.1
103,2016-01-09,73.8
104,2016-01-09,74
105,2016-10-09,52.8
106,2016-11-09,46.9
107,2016-12-09,49.9
108,2016-01-10,61.3
109,2016-01-10,47.5
110,2016-01-10,33
111,2016-01-10,62.9
112,2016-01-10,86
113,2016-01-10,71.5
114,2016-01-10,76.4
115,2016-01-10,67
116,2016-01-10,78.4
117,2016-10-10,69.9
118,2016-11-10,64.3
119,2016-12-10,45.4
120,2016-01-11,45
121,2016-01-11,57.1
122,2016-01-11,34.1
123,2016-01-11,66
124,2016-01-11,72.3
125,2016-01-11,75.6
126,2016-01-11,84.9
127,2016-01-11,67.1
128,2016-01-11,79.6
129,2016-10-11,78.4
130,2016-11-11,69.5
131,2016-12-11,47.3
132,2016-01-12,33.6
133,2016-01-12,88
134,2016-01-12,43.9
135,2016-01-12,58.6
136,2016-01-12,66.3
137,2016-01-12,84.4
138,2016-01-12,86.8
139,2016-01-12,66.3
140,2016-01-12,84.9
141,2016-10-12,69.9
142,2016-11-12,72.1
143,2016-12-12,54.9
144,2016-01-13,59.6
145,2016-01-13,90.5
146,2016-01-13,51.3
147,2016-01-13,90.3
148,2016-01-13,71.8
149,2016-01-13,73.4
150,2016-01-13,80.1
151,2016-01-13,64.4
152,2016-01-13,74.6
153,2016-10-13,79.1
154,2016-11-13,80.6
155,2016-12-13,64
156,2016-01-14,60.9
157,2016-01-14,53.6
158,2016-01-14,50.5
159,2016-01-14,57.6
160,2016-01-14,63.3
161,2016-01-14,70.4
162,2016-01-14,67.1
163,2016-01-14,64.6
164,2016-01-14,77.3
165,2016-10-14,72.1
166,2016-11-14,90.4
167,2016-12-14,48.1
168,2016-01-15,63
169,2016-01-15,38.4
170,2016-01-15,49.1
171,2016-01-15,59.3
172,2016-01-15,79.9
173,2016-01-15,78.6
174,2016-01-15,64.9
175,2016-01-15,76.6
176,2016-01-15,73.9
177,2016-10-15,75.9
178,2016-11-15,56
179,2016-12-15,47.6
180,2016-01-16,63.6
181,2016-01-16,59.6
182,2016-01-16,53.1
183,2016-01-16,78.5
184,2016-01-16,58.1
185,2016-01-16,65.6
186,2016-01-16,86.4
187,2016-01-16,76
188,2016-01-16,86.1
189,2016-10-16,90.8
190,2016-11-16,61
191,2016-12-16,35.8
192,2016-01-17,71.1
193,2016-01-17,49.8
194,2016-01-17,55.3
195,2016-01-17,44.1
196,2016-01-17,53.8
197,2016-01-17,62.9
198,2016-01-17,73.9
199,2016-01-17,78.3
200,2016-01-17,90
201,2016-10-17,84.3
202,2016-11-17,61.9
203,2016-12-17,62.6
204,2016-01-18,53
205,2016-01-18,61.8
206,2016-01-18,89.3
207,2016-01-18,43
208,2016-01-18,56.8
209,2016-01-18,70.3
210,2016-01-18,72.6
211,2016-01-18,71.6
212,2016-01-18,85.1
213,2016-10-18,78.6
214,2016-11-18,81.6
215,2016-12-18,71.6
216,2016-01-19,32
217,2016-01-19,58.9
218,2016-01-19,71.5
219,2016-01-19,46.5
220,2016-01-19,58.6
221,2016-01-19,71
222,2016-01-19,74.5
223,2016-01-19,68.9
224,2016-01-19,62.5
225,2016-10-19,79.6
226,2016-11-19,89
227,2016-12-19,86.6
228,2016-01-20,37.6
229,2016-01-20,42.9
230,2016-01-20,68.3
231,2016-01-20,58.8
232,2016-01-20,55.4
233,2016-01-20,84.6
234,2016-01-20,67.8
235,2016-01-20,65
236,2016-01-20,57
237,2016-10-20,78.1
238,2016-11-20,79.8
239,2016-12-20,81.5
240,2016-01-21,33.9
241,2016-01-21,35.8
242,2016-01-21,62.5
243,2016-01-21,89
244,2016-01-21,54
245,2016-01-21,86
246,2016-01-21,71.8
247,2016-01-21,63
248,2016-01-21,68.4
249,2016-10-21,70.3
250,2016-11-21,82.6
251,2016-12-21,87.5
252,2016-01-22,26.8
253,2016-01-22,45.5
254,2016-01-22,64.5
255,2016-01-22,70.9
256,2016-01-22,51.8
257,2016-01-22,88.3
258,2016-01-22,75.5
259,2016-01-22,65.3
260,2016-01-22,75
261,2016-10-22,72.3
262,2016-11-22,58.4
263,2016-12-22,65.1
264,2016-01-23,27.9
265,2016-01-23,39.5
266,2016-01-23,52.3
267,2016-01-23,56.3
268,2016-01-23,56.8
269,2016-01-23,71.6
270,2016-01-23,70.5
271,2016-01-23,73
272,2016-01-23,74.1
273,2016-10-23,64.6
274,2016-11-23,32.9
275,2016-12-23,49.4
276,2016-01-24,45.1
277,2016-01-24,29.9
278,2016-01-24,45.6
279,2016-01-24,54.9
280,2016-01-24,86.5
281,2016-01-24,79.9
282,2016-01-24,74.3
283,2016-01-24,59
284,2016-01-24,73.3
285,2016-10-24,63.4
286,2016-11-24,33.5
287,2016-12-24,54.3
288,2016-01-25,56.1
289,2016-01-25,32.8
290,2016-01-25,70.8
291,2016-01-25,51.6
292,2016-01-25,68.1
293,2016-01-25,57.8
294,2016-01-25,76.4
295,2016-01-25,69
296,2016-01-25,75.8
297,2016-10-25,82.6
298,2016-11-25,50.3
299,2016-12-25,73
300,2016-01-26,60.6
301,2016-01-26,61
302,2016-01-26,56.1
303,2016-01-26,61.4
304,2016-01-26,64.9
305,2016-01-26,62
306,2016-01-26,74.5
307,2016-01-26,80.6
308,2016-01-26,82.4
309,2016-10-26,77.6
310,2016-11-26,75.5
311,2016-12-26,86
312,2016-01-27,63.1
313,2016-01-27,49.8
314,2016-01-27,53.4
315,2016-01-27,84.5
316,2016-01-27,56.8
317,2016-01-27,81.8
318,2016-01-27,71.6
319,2016-01-27,57.4
320,2016-01-27,82
321,2016-10-27,70.6
322,2016-11-27,73.4
323,2016-12-27,47.8
324,2016-01-28,69.5
325,2016-01-28,67.1
326,2016-01-28,49.9
327,2016-01-28,77.1
